;Akatugba & Wallace (2009);science;Al-Omari & Miqdadi (2014);electricity and magnetism;Albe et al. (2001);Amos & Heckler (2018);Angell et al. (2008);mechanics;Badmus & Jita (2023);Bajracharya & Thompson (2016);thermodynamics;Bajracharya et al. (2019);Bing & Redish (2008);quantum mechanics;Bing & Redish (2009);Bollen et al. (2015);Bollen et al. (2016);Branchetti et al. (2019);Brush (2015);general relativity;Burkholder et al. (2020);Burkholder et al. (2021);Caballero et al. (2015);unclear.context;Campuzano et al. (2018);Capizzo (2006);optics;Carli et al. (2020);Carrejo & Marshall (2007);Ceuppens et al. (2018);Chari et al. (2019);de Ataide & Greca (2013);De Lozano & Cardenas (2002);de Winter & Airey (2022);Dini & Hammer (2017);Domert et al. (2007);Doughty et al. (2014);Dreyfus et al. (2017);Forinash et al. (2000);Galili (2018);Gifford & Finkelstein (2020);Gifford & Finkelstein (2021);Gingras (2015);Gire & Price (2014);Gire & Price (2015);Greca & Moreira (2002);Gupta & Elby (2011);Hadfield & Wieman (2010);Hansson et al. (2015);atomic physics;Haestoe et al. (2019);Holmberg & Bernhard (2017);Hu & Rebello (2013a);Hu & Rebello (2013b);Hu & Rebello (2014);Hull et al. (2013);Ibrahim et al. (2017);Izsak (2000);Jensen et al. (2017);Kanderakis (2016);Kapucu (2014);Kapucu et al. (2016);Karakok (2019);Karam (2014);Karam & Krey (2015);Kneubil & Robilotta (2015);Kragh (2015);Kuo et al. (2012);Kuo et al. (2020);Kustusch et al. (2014);Lichtenberger et al. (2017);Liu (2022);Liu & Liu (2011);Lopez-Gay et al. (2015);Lyublinskaya & Petrova (2021);Ma & Ma (2005);Manogue et al. (2006);Mantyla & Hamalainen (2015);Marshall & Carrejo (2008);Martinez-Torregrosa et al. (2006);Matthews (2004);Meli et al. (2016);Meltzer (2002);Meredith & Marrongelle (2008);Modir et al. (2017);Modir et al. (2019);Mulhall & Gunstone (2008);Murillo-Gonzalez & Burkholder (2022);Nakakoji & Wilson (2018);Nakakoji & Wilson (2020);Nguyen & Rebello (2011b);Ngyuen & Rebello (2011a);Nilsen et al. (2013);Olatoye (2007);Orton & Roper (2000);Pask (2003);Pepper et al. (2012);Planinic et al. (2012);Quale (2011a);Quale (2011b);Radtka (2015);Redish & Kuo (2015);Rodriguez et al. (2020);Ryan & Schermerhorn (2020);Sanchez & Ponce (2020);Sherin (2001a);Sherin (2001b);Silva (2007);Sokolowski (2020);Torigoe & Gladdin (2011);Tu et al. (2020);Tuminaro & Redish (2007);Tursucu et al. (2017);Tursucu et al. (2020a);Tursucu et al. (2020b);Tweney (2009);Tweney (2011);Tzanakis & Thomaidis (2000);Uhden et al. (2012);Van den Eynde et al. (2020);Van den Eynde et al. (2023);Vemulapalli & Byerly (2004);Von Korff & Rebello (2012);Walsh et al. (2007);Wang (2005);Wilcox & Crosiglia (2019);Wilcox & Pollock (2015a);Wilcox & Pollock (2015b);Wilcox et al. (2013);Wittmann & Black (2015);Woolnough (2000);constructivism;students' epistemologies;conceptions;process-object layered framework;external representations;modeling;achievement;resources;problem solving;other.framework;concept image;conceptual blending;history of science;ACER;unclear.framework;symbolic forms;formal analogies;distributed cognition
Akatugba & Wallace (2009);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
science;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al-Omari & Miqdadi (2014);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
electricity and magnetism;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albe et al. (2001);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amos & Heckler (2018);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angell et al. (2008);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
mechanics;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Badmus & Jita (2023);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Bajracharya & Thompson (2016);0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
